Season,Round,EventName,Abbreviation,TeamName,GridPosition,Q1_s,Q2_s,Q3_s,Position
2015,1,Australian Grand Prix,HAM,Mercedes,1.0,88.586,86.894,86.327,1.0
2015,1,Australian Grand Prix,ROS,Mercedes,2.0,88.906,87.097,86.921,2.0
2015,1,Australian Grand Prix,VET,Ferrari,4.0,89.307,87.742,87.757,3.0
2015,1,Australian Grand Prix,MAS,Williams,3.0,89.246,87.895,87.718,4.0
2015,1,Australian Grand Prix,NAS,Sauber,10.0,90.43,88.8,9999.0,5.0
2015,1,Australian Grand Prix,RIC,Red Bull,6.0,89.788,88.679,88.329,6.0
2015,1,Australian Grand Prix,HUL,Force India,13.0,89.651,89.208,9999.0,7.0
2015,1,Australian Grand Prix,ERI,Sauber,15.0,91.376,9999.0,9999.0,8.0
2015,1,Australian Grand Prix,SAI,Toro Rosso,7.0,89.597,88.601,88.51,9.0
2015,1,Australian Grand Prix,PER,Force India,14.0,89.99,89.209,9999.0,10.0
2015,1,Australian Grand Prix,BUT,McLaren,16.0,91.422,9999.0,9999.0,11.0
2015,1,Australian Grand Prix,RAI,Ferrari,5.0,89.754,87.807,87.79,12.0
2015,1,Australian Grand Prix,VER,Toro Rosso,11.0,89.248,88.868,9999.0,13.0
2015,1,Australian Grand Prix,GRO,Lotus F1,8.0,89.537,88.589,88.56,14.0
2015,1,Australian Grand Prix,MAL,Lotus F1,9.0,89.847,88.726,89.48,15.0
2015,1,Australian Grand Prix,KVY,Red Bull,12.0,90.402,89.07,9999.0,16.0
2015,1,Australian Grand Prix,MAG,McLaren,17.0,92.037,9999.0,9999.0,17.0
2015,1,Australian Grand Prix,BOT,Williams,0.0,89.641,87.796,88.087,18.0
2015,2,Malaysian Grand Prix,VET,Ferrari,2.0,99.814,99.632,109.908,1.0
2015,2,Malaysian Grand Prix,HAM,Mercedes,1.0,99.269,101.517,109.834,2.0
2015,2,Malaysian Grand Prix,ROS,Mercedes,3.0,99.374,99.377,110.299,3.0
2015,2,Malaysian Grand Prix,RAI,Ferrari,11.0,100.415,102.173,9999.0,4.0
2015,2,Malaysian Grand Prix,BOT,Williams,8.0,100.249,100.65,113.179,5.0
2015,2,Malaysian Grand Prix,MAS,Williams,7.0,100.543,101.23,112.473,6.0
